name,price,star,review_count,cat,zipcode
The Lighthouse Cafe,$$,4,1957,"Breakfast & Brunch,Seafood,American (Traditional)",92660
Bosscat Kitchen and Libations,$$,4.5,3969,"American (New),Breakfast & Brunch,Cocktail Bars",92660
Farmhouse at Roger’s Gardens,$$,4,1151,American (Traditional),92660
Great Maple - Newport Beach,$$,4.5,2238,"American (New),Breakfast & Brunch,Venues & Event Spaces",92660
Habana,$$$,4,4419,"Cuban,Latin American,Cocktail Bars",92660
Sol Grill,$$,4.5,834,"Seafood,American (New),Steakhouses",92660
Tavern House Kitchen + Bar,$$,4.5,411,"American (New),Breakfast & Brunch",92660
Eddie V’s Prime Seafood,$$$,4.5,1741,"Seafood,Steakhouses,Lounges",92660
Hanuman Thai Eatery,$$,5,324,"Thai,Asian Fusion,Coffee & Tea",92660
Bello by Sandro Nardone,$$$,4.5,260,"Italian,Breakfast & Brunch",92660
The Stand,$$,4.5,430,"American (New),Burgers,Food Delivery Services",92660
Hook & Anchor,$$,4.5,1089,"Seafood,Salad,Fish & Chips",92660
The Beachcomber,$$,4,2557,"Diners,Burgers,American (Traditional)",92660
Mama D’s Italian Kitchen,$$,4.5,6042,Italian,92660
Bluewater Grill - Newport Beach,$$$,4,1613,Seafood,92660
Mutts,$$,3.5,66,"Breakfast & Brunch,Pizza,Sandwiches",92660
SOL Mexican Cocina,$$,4,3508,"Mexican,Breakfast & Brunch,Bars",92660
R+D Kitchen,$$,4,1424,"Burgers,Bars,Sandwiches",92660
Playa Mesa,$$,4.5,1552,"Mexican,Tapas/Small Plates,Cocktail Bars",92660
Fork and Knife,,5,49,"Specialty Food,American (New)",92660
Flower Child,$$,4,283,"American (New),Vegetarian,Salad",92660
CUCINA enoteca Newport Beach,$$,4,825,"Pizza,Italian",92660
Gracias Madre,$$,4,411,"Vegan,Mexican,Vegetarian",92660
Gulfstream,$$$,4,1438,"American (New),Seafood",92660
Shorebird,,4.5,275,American (New),92660
Moulin,$$,4,1167,"Bakeries,French,Cafes",92660
Pelican Grill,$$$,4,723,"American (New),Lounges",92660
CdM Restaurant,$$$,4.5,206,"American (New),Speakeasies,Cocktail Bars",92660
Wild Goose Tavern,$$,4.5,864,"American (New),Bars,Pizza",92660
Herb & Ranch,$$,4,40,"American (New),Breakfast & Brunch,Cafes",92660
A Restaurant,$$$,4,565,"American (New),Bars",92660
Stacks Pancake House,$$,4,226,"Hawaiian,Pancakes",92660
Nick The Greek,,4.5,79,"Greek,Salad,Falafel",92660
Oak & Coal,$$,4.5,433,"Japanese,Seafood,Cocktail Bars",92660
North Italia,$$,4.5,3763,"Pizza,Italian,Cocktail Bars",92660
Javier’s - Crystal Cove,$$$,3.5,3056,"Mexican,Bars,Desserts",92660
The Dock,$$$,4.5,485,"American (New),Breakfast & Brunch,Seafood",92660
Porch & Swing,,4,203,American (New),92660
RIBBRO BBQ,$$,4.5,332,"Barbeque,Sandwiches,American (Traditional)",92660
Northeast Sisters,,4.5,83,"Chinese,Asian Fusion",92660
Bandera,$$$,4,1177,"American (New),Wine Bars",92660
SOCIAL,$$,4,1363,"American (New),Gastropubs,Bars",92660
Yichuan Restaurant,,4,30,"Chinese,Bars,Seafood",92660
SideDoor,$$,4,761,"British,Gastropubs",92660
Nguyen’s Kitchen,$$,4,696,"Vietnamese,American (New),Asian Fusion",92660
True Food Kitchen,$$,4,2620,"American (New),Vegetarian,Vegan",92660
Red O,$$$,4,2132,"Mexican,Seafood,Steakhouses",92660
Malibu Farm Lido,$$,4,582,"Sandwiches,American (New),Breakfast & Brunch",92660
Eat Chow,$$,4,2482,"Breakfast & Brunch,Coffee & Tea,Tapas/Small Plates",92660
Nana San,$$$,4.5,1047,"Sushi Bars,Japanese",92660
Tabu Shabu - Costa Mesa,$$,4.5,1236,"Japanese,Hot Pot",92660
Fable & Spirit,$$,4.5,324,"Seafood,Tapas/Small Plates,Cocktail Bars",92660
ARC Butcher & Baker,$$,4,260,"American (New),Bakeries",92660
"Olea, Cellar. Craft. Cook.",$$,4.5,447,"Seafood,American (New),Steakhouses",92660
Rockin’ Baja Lobster Coastal Cantina,$$,4,1172,"Seafood,Mexican",92660
Furiwa Togo,,4.5,91,"Dim Sum,Cantonese,Comfort Food",92660
Anjin,$$,4.5,1644,"Japanese,Barbeque",92660
Toast Kitchen & Bakery,$$,4.5,997,"Breakfast & Brunch,American (New),Cocktail Bars",92660
Sevilla Restaurant & Tapas Bar,,4,432,"Spanish,Tapas/Small Plates,Music Venues",92660
Snipe Island Crafthouse,$$,4.5,62,"American (New),Tapas/Small Plates,Wine Bars",92660
TidePoole’s,$$,4.5,318,American (New),92660
Hashigo Korean Kitchen,$$,4,1347,"Korean,Asian Fusion",92660
SHOR American Seafood Grill,$$,3.5,95,"American (New),Seafood",92660
The Crack Shack - Costa Mesa,$$,4,1542,"Chicken Shop,Sandwiches,American (New)",92660
ETCetera Sushi & Izakaya,$$,4.5,985,"Japanese,Sushi Bars,Tapas Bars",92660
Poached Kitchen,$$,4.5,322,"Breakfast & Brunch,American (Traditional)",92660
Vista.Kitchen.Bar,$$,3.5,25,"Comfort Food,Breakfast & Brunch,American (Traditional)",92660
