name,price,star,review_count,cat,zipcode
Habana,$$,4,2444,"Cuban,Cocktail Bars",92618
Little Sister,$$,3.5,332,Vietnamese,92618
CUCINA enoteca Irvine,$$,4,2355,"Italian,Pizza,Wine Bars",92618
Puesto Los Olivos Irvine,$$,4,1775,"Mexican,Cocktail Bars",92618
Burnt Crumbs,$$,4.5,863,"American (New),Sandwiches,Breakfast & Brunch",92618
Fukada,$$,4,2677,"Japanese,Noodles",92618
Javier’s - Irvine,$$$,3.5,2678,"Mexican,Bars",92618
Urban Seoul 2.0,$$,4,791,"Korean,Asian Fusion,Tapas/Small Plates",92618
Marufuku Ramen Irvine,$$,4.5,214,Ramen,92618
Del Frisco’s Grille,$$,4,993,"Breakfast & Brunch,Bars,Steakhouses",92618
Angelina’s Pizzeria Napoletana,$$,4,1046,"Pizza,Italian,Cocktail Bars",92618
Chan365,,5,1,"Korean,Soup,Asian Fusion",92618
Fogo de Chao Brazilian Steakhouse,$$$,4,939,"Steakhouses,Brazilian,Wine Bars",92618
Fam’s Kitchen,,4.5,124,"Asian Fusion,Noodles,Soup",92618
The Kebab Shop,$$,4.5,659,"Middle Eastern,Falafel",92618
Everyday Eatery,$$,4.5,567,"Cafes,Breakfast & Brunch,Coffee & Tea",92618
Hive & Honey Rooftop,$$,3,449,"Cocktail Bars,Tapas/Small Plates",92618
North Italia,$$,4.5,3763,"Pizza,Italian,Cocktail Bars",92618
Yard House,$$,3.5,1929,"American (New),Bars,Vegetarian",92618
Silverlake Ramen - Irvine Spectrum,$$,4,260,"Ramen,Noodles",92618
Capital Seafood Restaurant,$$,3.5,1342,"Seafood,Dim Sum,Cantonese",92618
Brio Italian Grille,$$,3.5,1324,Tuscan,92618
The Patio Marketplace at 400 Spectrum,,4.5,11,"American (New),Coffee Roasteries,Beer, Wine & Spirits",92618
Súp Noodle Bar - Irvine,$$,4.5,505,"Vietnamese,Peruvian,Chicken Wings",92618
Two Left Forks,$$,4,558,"Cocktail Bars,American (Traditional),Beer Bar",92618
Born From The Lime Truck - TLT Food,$$,4,1054,"American (New),Mexican",92618
Ironwood Cellar. Craft. Cook.,$$,4.5,1031,"American (New),Seafood,Cocktail Bars",92618
Paul Martin’s American Grill,$$,4,1642,"Seafood,Steakhouses,American (Traditional)",92618
PorchBox,,5,47,"American (Traditional),Comfort Food,Vegetarian",92618
The Cut,$$,4.5,1391,"Burgers,American (Traditional),Breakfast & Brunch",92618
Robata Wasa,$$,3.5,391,"Sushi Bars,Salad,Noodles",92618
Mangi Con Amore,$$,5,431,Italian,92618
O’Shine Taiwanese Kitchen,$$,4.5,96,Taiwanese,92618
LionHeartOC,$$$$,5,19,Pop-Up Restaurants,92618
Wood Ranch BBQ & Grill,$$,3.5,1059,"Barbeque,American (Traditional),Beer Bar",92618
The Beachcomber,$$,4,2557,"Diners,Burgers,American (Traditional)",92618
Tender Greens,$$,4,1132,"Salad,American (New),Grocery",92618
Burger Lounge,$$,4,507,Burgers,92618
Beijing Noodle House,$$,4,160,"Noodles,Dim Sum",92618
Yup Dduk Irvine,$$,4.5,143,"Korean,Chicken Shop",92618
Panini Kabob Grill - Irvine Los Olivos,$$,4,905,"Mediterranean,Middle Eastern,Kebab",92618
Pelican Grill,$$$,4,723,"American (New),Lounges",92618
The Melt - Irvine Spectrum,$,3,832,"American (New),Sandwiches,Burgers",92618
Umma’s K-BBQ,$$,4.5,145,"Korean,Barbeque,Hawaiian",92618
Heirloom Farmhouse Kitchen,$$$,3.5,72,"American (New),Breakfast & Brunch,Pizza",92618
Pokenoya,$$,4,224,"Seafood,Poke,Sushi Bars",92618
Jing’s Kitchen,$,4,71,Chinese,92618
GUI BBQ Restaurant & Bar,$$,4,135,"Barbeque,Asian Fusion,Kebab",92618
Poached Kitchen,$$,4.5,322,"Breakfast & Brunch,American (Traditional)",92618
