name,price,star,review_count,cat,zipcode
The State,$$,4,1065,"American (Traditional),Bars,Burgers",91739
Biest,,4.5,3,Mediterranean,91739
Luna Modern Mexican Kitchen,$$,4,1294,Mexican,91739
The Whisper House,$$,4,1571,"American (New),Burgers,Cocktail Bars",91739
Dumpling Master,$$,4.5,198,"Dim Sum,Noodles,Bubble Tea",91739
Texas de Brazil,$$$,3.5,87,"Brazilian,Venues & Event Spaces,Steakhouses",91739
Brio Italian Grille,$$,4,1580,"Wine Bars,Tuscan,Breakfast & Brunch",91739
Hills Kitchen,$$,4.5,82,"Salad,Burgers,Sandwiches",91739
Bone & Broth,$$,4.5,191,"Vietnamese,Asian Fusion,Noodles",91739
Mama Por Dios,$$$,2.5,1280,Mexican,91739
Haven City Market,$$,4,369,Food Court,91739
Luxe Kitchen & Cantina,,3.5,257,"Mexican,Cocktail Bars,Seafood",91739
Broken Yolk Cafe,$$,4,428,"Breakfast & Brunch,Cafes,American (Traditional)",91739
King’s Fish House - Rancho Cucamonga,$$,4,1310,Seafood,91739
Septembers Taproom & Eatery,$$,4,659,"American (Traditional),Sports Bars",91739
LongHorn Steakhouse,$$,4,328,"Steakhouses,Barbeque,American (Traditional)",91739
Fleming’s Prime Steakhouse & Wine Bar,$$$,4,1618,"Steakhouses,Wine Bars,Seafood",91739
K-Towne 88,$$,4,1081,"Korean,Asian Fusion",91739
Compadres Cantina,$$,4.5,702,"Bars,New Mexican Cuisine,Latin American",91739
Ramen Masuta,$$,4.5,584,Ramen,91739
Mr.Dumpling,$,4.5,834,Chinese,91739
Noods Bar,$$,4,596,Ramen,91739
Punch Bowl Social Rancho Cucamonga,$$,3.5,940,"Gastropubs,Eatertainment,Breakfast & Brunch",91739
U-Grill Korean BBQ,$$,4,1793,"Korean,Barbeque,Buffets",91739
Lazy Dog Restaurant & Bar,$$,4,2021,"American (New),Comfort Food,Burgers",91739
The Lobby,$$,4.5,276,"Cocktail Bars,Lounges,American (Traditional)",91739
Yard House,$$,3.5,1483,"American (New),Bars,Vegetarian",91739
Rodeo X Food Court,,4,5,Food Court,91739
Stonefire Grill,$$,4,863,"Barbeque,Salad,American (Traditional)",91739
Dumpling Village,,4.5,136,Chinese,91739
Mochinut,,4,19,"Donuts,Hot Dogs,Bubble Tea",91739
The Combine Kitchen,$$,4,1246,"Coffee & Tea,Breakfast & Brunch",91739
The Salted Pig,$$,4,2901,"Gastropubs,American (New),Breakfast & Brunch",91739
Jojo’s Kitchen: Taiwan Eats,$,4.5,202,Taiwanese,91739
Heroes Restaurant and Brewery,$$,4,10,"American (Traditional),Sports Bars,Brewpubs",91739
Man vs Fries,,4,24,"Mexican,Pop-Up Restaurants",91739
Jude’s BBQ,,4.5,174,"Barbeque,Sandwiches",91739
Mezzaterranean,$$,4.5,1059,"Lebanese,Mediterranean",91739
China Republic,$$,4,848,"Dim Sum,Seafood",91739
Paul Martin’s American Grill,$$,4,1644,"Steakhouses,Seafood,American (New)",91739
Boiling World,$$,4,512,"Hot Pot,Chinese,Seafood",91739
Lucille’s Smokehouse Bar-B-Que,$$,3.5,1828,"Barbeque,Smokehouse,Beer Bar",91739
The Forum Blues Café,,4,769,"New Mexican Cuisine,Breakfast & Brunch,Comfort Food",91739
Tasty Pot,$$,4,198,"Bubble Tea,Hot Pot,Ramen",91739
Nonoy’s Lechon,$$$$,4.5,70,Filipino,91739
Gen Korean BBQ House,$$,4,3749,"Korean,Barbeque,Asian Fusion",91739
Ori Sushi Robata Bar,,4,164,Sushi Bars,91739
