name,price,star,review_count,cat,zipcode
Havana Grill,$$,4.5,1283,"Cuban,Seafood,Sandwiches",92122
EE NAMI Tonkatsu Izakaya,$$,4.5,197,"Izakaya,Beer, Wine & Spirits",92122
Piatti,$$,4.5,1782,"Italian,Pizza,Seafood",92122
Cutwater Spirits,$$,4.5,708,"Distilleries,Cocktail Bars,American (New)",92122
Supernatural Sea to Sandwich,$$,4.5,1575,"Sandwiches,Food Stands,Seafood",92122
Herringbone La Jolla,$$$,4,1580,Seafood,92122
Farmer & The Seahorse,$$,4,659,"American (New),Coffee & Tea,Breakfast & Brunch",92122
Mike’s Red Tacos,,4.5,33,"Tacos,Food Trucks",92122
Duke’s La Jolla,$$,4,2477,"American (New),Breakfast & Brunch,Seafood",92122
Common Theory,$$,4,1298,"Gastropubs,American (New),Beer Bar",92122
Great Maple - La Jolla,$$,4,1093,"American (New),Breakfast & Brunch,Comfort Food",92122
Eureka!,$$,4,1540,American (Traditional),92122
Draft Republic - La Jolla,$$,4,1658,"American (Traditional),Gastropubs,Beer Gardens",92122
Din Tai Fung,$$,4.5,3190,"Taiwanese,Dim Sum,Shanghainese",92122
Dumpling Inn,$$,4,3017,"Chinese,Bars",92122
Cross Street Chicken and Beer,$$,4.5,1794,"Korean,Beer Bar,Chicken Wings",92122
Homestyle Hawaiian,$$,4,1785,"Hawaiian,Salad,Seafood",92122
Sue’s Korean Kitchen,,5,64,Korean,92122
Truluck’s Ocean’s Finest Seafood & Crab,$$$,4.5,1931,"Seafood,Steakhouses",92122
Karl Strauss - Sorrento Mesa,$$,4,1455,"Venues & Event Spaces,Breweries,American (New)",92122
Eddie V’s Prime Seafood,$$$,4.5,1721,"Seafood,Steakhouses,Lounges",92122
Bud’s Louisiana Cafe,$$,4.5,2359,"Cajun/Creole,Breakfast & Brunch,Wine Bars",92122
Hawaiian Fresh Seafood,$$,5,284,"Poke,Seafood Markets,Seafood",92122
LouZiana Food Casual Dining Restaurant,$$,4.5,479,"Cajun/Creole,Seafood,Desserts",92122
Harmony Cuisine 2B1,,4.5,10,"Japanese,Sushi Bars",92122
IsaBella Artisan Pizzeria & Craft Beer Garden,$$,4.5,725,"Pizza,Italian,Beer Gardens",92122
Blue Ocean / Harumama - La Jolla,$$,4,425,"Ramen,Asian Fusion,Sushi Bars",92122
Steamy Piggy,$$,4,2270,"Chinese,Asian Fusion,Ramen",92122
Aladdin Cafe,$$,4.5,1135,"Mediterranean,Lebanese",92122
Gravity Heights,$$,4,584,"Brewpubs,Breakfast & Brunch,Sports Bars",92122
Matoi,$$$$,5,29,"Sushi Bars,Japanese",92122
Famous Waffle Sandwich,$,5,230,"Waffles,Sandwiches,Desserts",92122
Shorehouse Kitchen,$$,4.5,1579,"Coffee & Tea,Breakfast & Brunch,American (New)",92122
Catania,$$$,4.5,800,"Pizza,Italian,Breakfast & Brunch",92122
Puesto - La Jolla,$$,4,2726,"Mexican,Bars,Desserts",92122
George’s at the Cove,$$$,4,1925,"American (New),Seafood,Vegetarian",92122
Tasty Noodle House,$$,4,1117,"Chinese,Noodles,Soup",92122
Zen Curry,$$,4.5,299,Japanese Curry,92122
Oscars Mexican Seafood,$,4.5,2999,"Mexican,Seafood",92122
Song Hak - San Diego,$$,4.5,385,"Korean,Barbeque",92122
Yakitori Taisho,$$,4,330,Japanese,92122
Katsu Cafe,$,4,637,"Japanese,Sushi Bars",92122
Costa Brava,$$,4.5,1893,"Tapas Bars,Spanish,Basque",92122
CAVA,,4.5,149,"Mediterranean,Salad",92122
SHABUMi,$$$,4.5,1116,"Hot Pot,Korean,Barbeque",92122
Calvins Korean Hot Chicken,,5,113,"Chicken Wings,Korean,Chicken Shop",92122
Adrian’s Surf N’ Turf Grill,$$,5,501,"Seafood,Steakhouses,Sandwiches",92122
Simsim Mediterranean Grill,,4.5,771,"Mediterranean,Middle Eastern,Halal",92122
The Butcher N Cheese,$$,4,166,Burgers,92122
Tahini,$$,4.5,956,"Mediterranean,Middle Eastern,Halal",92122
"Snooze, an A.M. Eatery",$$,4,1134,"Breakfast & Brunch,Sandwiches,American (Traditional)",92122
Woomiok,$$,4.5,540,Korean,92122
Regents Pizzeria,$$,4,1422,"Pizza,Italian,American (Traditional)",92122
TJ Dumplings,,4,82,"Szechuan,Asian Fusion,Shanghainese",92122
Farmer’s Table Bay Park,$$,4,576,"Breakfast & Brunch,Italian,Pizza",92122
Mendocino Farms,$$,4.5,699,"Salad,Sandwiches",92122
Yokohama Yakitori Koubou,$$,4,708,Japanese,92122
