name,price,star,review_count,cat,zipcode
1909,$$,4,2893,"Bars,Gastropubs,American (New)",92591
The Goat & Vine,$$,4.5,2559,"Pizza,Sandwiches,Wine Bars",92591
Be Good Restaurant & Experience,$$,4,972,"Bars,American (Traditional),Mexican",92591
Bluewater Grill - Temecula,$$,4.5,1686,Seafood,92591
Small Barn,$$,4.5,254,"American (New),Wine Bars,Breakfast & Brunch",92591
Oscar’s Brewing Company,,4,335,"Breweries,American (New),Tapas/Small Plates",92591
DPoong Korean BBQ,,4.5,103,"Korean,Barbeque",92591
Bolero Restaurante,,4,219,"Tapas/Small Plates,Breakfast & Brunch,Wine Bars",92591
PUBlic House,$$,4,1932,"American (New),Gastropubs,Cocktail Bars",92591
Gourmet Italia,$$,4,2691,Italian,92591
Havana Kitchen,$$,4.5,1878,"Cuban,Coffee & Tea,Caribbean",92591
Crush & Brew,$$,4,1009,"American (New),Bars",92591
Avensole Winery,$$,4,1087,"Venues & Event Spaces,Wineries,American (New)",92591
Tui’s Tasty Chicken,,5,29,"Chicken Shop,Hawaiian,Barbeque",92591
Espadín,$$,3.5,833,"Mexican,Cocktail Bars",92591
My Taste of Atlanta,,5,7,"Soul Food,Southern,Food Delivery Services",92591
Margarita’s Cocina y Cantina,$$,4,39,Mexican,92591
Toast,$$,4,1484,"Breakfast & Brunch,Coffee & Tea,American (New)",92591
8 Bit Brewing Company,$$,4.5,784,"American (New),Breweries",92591
Cork Fire Kitchen,$$,4,695,"American (New),Seafood,Breakfast & Brunch",92591
Phil’s BBQ,$$,4,241,Barbeque,92591
Sharon’s Creole Kitchen,$$,4.5,331,"Cajun/Creole,American (Traditional),Seafood",92591
Guadalajara Mexican Grill,$$,4,995,Mexican,92591
The Gumbo Pot,,4.5,43,"Southern,Cajun/Creole,Seafood",92591
Mo’s Egg House,$$,4.5,2147,"Breakfast & Brunch,American (New),Cafes",92591
The Great Oak Steakhouse,$$$,4,356,Steakhouses,92591
Karl Strauss – Temecula,$$,4.5,1098,"Breweries,American (New),Breakfast & Brunch",92591
Lazy Dog Restaurant & Bar,$$,4,1209,"American (New),Comfort Food,Burgers",92591
Bottega Italia,$$,4,157,"Pizza,Coffee & Tea,Gelato",92591
Luke’s On Front,$$,4,845,"American (New),Cocktail Bars,Music Venues",92591
Kan Zaman Restaurant,$$,5,173,"Mediterranean,Middle Eastern",92591
Devilicious Eatery,$$,4,890,"American (New),Gastropubs,Sandwiches",92591
Slap Yo Momma,,4,5,"Barbeque,Soul Food",92591
Chef K,$$,4.5,386,Chinese,92591
Fire Fish Sushi and More,$$,4.5,636,"Sushi Bars,Japanese",92591
HoBo’s BBQ,$$,4,900,"Barbeque,American (New)",92591
Trattoria Toscana,$$,4,596,"Italian,Bars,Pizza",92591
Urbane Cafe,$$,4.5,367,"Sandwiches,Salad,American (New)",92591
Yard House,$$,4,1061,"Bars,American (New),Vegetarian",92591
Creekside Grille Restaurant,$$,4,348,American (New),92591
The Gambling Cowboy Chophouse & Saloon,$$$,3.5,1083,Steakhouses,92591
Snow & Crab,$$,4,447,"Shaved Ice,Seafood,Cajun/Creole",92591
La Choza Peruvian & Mexican Restaurant,$$,4.5,309,"Peruvian,Mexican",92591
Soho Ramen and Sake Bar,$$,4,296,"Ramen,Sushi Bars,Beer Bar",92591
Bushfire Kitchen - Temecula,$$,4,1073,"Gluten-Free,Burgers,American (Traditional)",92591
EAT Marketplace,$$,4,1231,"American (New),Breakfast & Brunch,Delis",92591
Great Harvest Bread Co,$,4.5,512,"Bakeries,Breakfast & Brunch,Sandwiches",92591
Los Panchos Mexican Grill & Seafood Cantina,,3.5,125,"Mexican,Seafood",92591
