name,price,star,review_count,cat,zipcode
Thompson Brewing,$$,4.5,293,"American (Traditional),Brewpubs",92503
Pirates Kitchen,$$,3.5,159,"Cajun/Creole,Seafood,Sports Bars",92503
Chick N’ Hot,,4,168,"Chicken Shop,Chicken Wings,Sandwiches",92503
The Lobby,$$,4.5,276,"Cocktail Bars,Lounges,American (Traditional)",92503
The Salted Pig,$$,4,2901,"Gastropubs,American (New),Breakfast & Brunch",92503
Mamma Mia Restaurant and Bar,$$,4.5,77,"Italian,Pizza,Beer Bar",92503
Greek Street Grill,$,4.5,1259,"Greek,Mediterranean",92503
Yard House,$$,3.5,980,"American (New),Bars,Vegetarian",92503
Lazy Dog Restaurant & Bar,$$,4.5,478,"American (New),Comfort Food,Burgers",92503
Riverside Food Lab,$$,4,530,Food Court,92503
Birrieria Little Tijuana,$$,5,91,Tacos,92503
Koreana Grill,$$,4,1058,"Korean,Buffets,Barbeque",92503
Panini Kabob Grill - Riverside,$$,4.5,374,"Mediterranean,Persian/Iranian,Kebab",92503
Texas Roadhouse,$$,4,1381,"American (Traditional),Barbeque,Steakhouses",92503
Sam’s Pita And Kabab,$$,5,115,"Middle Eastern,Wraps,Greek",92503
Anchos Southwest Grill & Bar,$$,4,1413,"Mexican,Tex-Mex,Bars",92503
OK Tofu House,$$,4,282,"Korean,Soup,Noodles",92503
Taqueria 2 Potrillos - Riverside,$,4,207,Mexican,92503
Tacos Y Más,,4.5,116,Tacos,92503
Seafood and Crawfish,$$,4,581,"Seafood,Cajun/Creole,Asian Fusion",92503
Slaters 50/50 - Riverside,$$,4,60,"Burgers,Beer Bar,American (New)",92503
Otsuka Ramen & Bar,$$,3.5,132,"Ramen,Bars",92503
Gen Korean BBQ House,$$,4,2013,"Korean,Barbeque",92503
El Patron Downtown Riverside,$$,4.5,289,"Mexican,Cocktail Bars,Venues & Event Spaces",92503
Royal Orchid Thai Restaurant,$,4,417,Thai,92503
The Cheesecake Factory - Riverside,$$,3,990,"American (Traditional),Desserts",92503
California Fish Grill,$$,4,321,"Seafood,Fish & Chips,Tacos",92503
Peking Chinese Restaurant,$$,4,427,"Chinese,Korean",92503
Wang Cho Korean BBQ,$$,4,1344,"Korean,Barbeque",92503
Taiyos Sushi & Poki,$$,4,703,"Sushi Bars,Poke,Japanese",92503
Heroes Restaurant and Brewery,$$,3.5,1934,"American (Traditional),Brewpubs,Steakhouses",92503
Tony’s Mexican Grill,,4.5,178,Mexican,92503
