name,price,star,review_count,cat,zipcode
Tipsy Cow,$$,4,1514,"American (Traditional),Breakfast & Brunch,Cocktail Bars",91403
The Sherman,$$,4,755,"Cocktail Bars,American (New),American (Traditional)",91403
On The Thirty,$$,4,1421,"American (New),Bars,Breakfast & Brunch",91403
Anejo Cantina and Grill,$$,4,2048,"Mexican,Cocktail Bars",91403
Blu Jam Cafe,$$,4,2457,"Breakfast & Brunch,American (New),Modern European",91403
Pearl District Sherman Oaks,$$$,4.5,167,American (New),91403
Mizlala,$$$,4,563,"Mediterranean,Middle Eastern",91403
Cea-Lo L.A,$$,5,36,"American (New),Seafood,Soul Food",91403
Mardi Gras Tuesday,,4.5,374,"Cajun/Creole,Seafood,Breakfast & Brunch",91403
Spumoni Restaurant,$$,4.5,1000,"Italian,Pizza",91403
Osteria La Buca - Sherman Oaks,,4,71,"Italian,Pasta Shops,Pizza",91403
MidiCi The Neapolitan Pizza Company,$$,4,3336,"Pizza,Italian,Wine Bars",91403
PSY Street Kitchen,$$,4.5,449,"Burgers,Kosher,Salad",91403
Sugar Taco,,4,234,"Vegetarian,Mexican,Vegan",91403
Kai Ramen - Sherman Oaks,$$,4.5,937,"Ramen,Soup",91403
The Local Peasant - Sherman Oaks,$$,4,1633,"Gastropubs,Bars,American (Traditional)",91403
Public School 818,$$,3.5,1158,"Gastropubs,Bars,American (New)",91403
Dave’s Hot Chicken,$$,4.5,37,"Chicken Shop,Halal",91403
Panzanella Ristorante,$$$,4,469,"Sicilian,Wine Bars",91403
Marmalade Cafe - Sherman Oaks,$$,4,1133,"Breakfast & Brunch,American (New),Cafes",91403
8oz Poke,$$,4.5,784,"Hawaiian,Poke,Fast Food",91403
O’cado Restaurant & Wine Bar,$$,4.5,366,"Vegan,Wine Bars,American (New)",91403
Blue Dog Beer Tavern,$$,4,1956,"Burgers,Gastropubs,American (Traditional)",91403
The Little Izaka-Ya by Katsu-Ya Sherman Oaks,$$,4,624,"Sushi Bars,Japanese",91403
The Crabby Crab,$$,4,1103,"Seafood,Cocktail Bars,Cajun/Creole",91403
Stanley’s Restaurant,$$,4,272,American (Traditional),91403
Taisho,,4.5,131,"Sushi Bars,Japanese,Cocktail Bars",91403
Mr Furley’s Bar,$,4,572,"Pubs,Cocktail Bars,Sandwiches",91403
Pacifico Charbroiled Fish,,5,31,"Food Trucks,Seafood,Fish & Chips",91403
Gyu-Kaku Japanese BBQ,$$,4,1445,"Japanese,Barbeque,Asian Fusion",91403
Rustic Spoon - Sherman Oaks,,4.5,76,"Thai,Asian Fusion,Noodles",91403
Mendocino Farms,$$,4.5,1430,"Salad,Sandwiches",91403
The Harvest Bar,$$,4.5,694,"Coffee & Tea,Acai Bowls,Salad",91403
